question,answer,document
Can you tell me more about the Information Systems 40th Anniversary Celebration (Private event for IS community)?,IS alumni: Join us to celebrate 40 years of undergraduate information systems graduates at Carnegie Mellon University.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the IS community and their guests.,Events_data/Documents/Apr-13_Eventno_26_InformationSystems40thAnniversaryCelebrationPrivateeventforIScommunity.txt
Where is Statistics & Data Science Alumni & Department Lunch taking place?,"Tent, Baker Hall Patio",Events_data/Documents/Apr-12_Eventno_24_StatisticsDataScienceAlumniDepartmentLunch.txt
What is the timing for the 25th Reunion Dinner Reception (Class of 1999)?,Timings for 25th Reunion Dinner Reception (Class of 1999) are 6:00 PM-9:00 PM ET on 4/13/24.,Events_data/Documents/Apr-13_Eventno_52_25thReunionDinnerReceptionClassof1999.txt
What is the timing for the Eid Celebration?,Timings for Eid Celebration are 3:00 PM-5:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_10_EidCelebration.txt
"Where is Inventing Shakespeare: Text, Technology and The Four Folios taking place?","Smith Exhibit Space, 1st Floor, Hunt Library",Events_data/Documents/Apr-10_Eventno_2_InventingShakespeareTextTechnologyandTheFourFolios.txt
"What is the timing for the Lunar Bots, Roll Out!?","Timings for Lunar Bots, Roll Out! are 11:00 AM-7:00 PM ET on 4/12/24.",Events_data/Documents/Apr-12_Eventno_16_LunarBotsRollOut.txt
What is the timing for the Mellon College of Science Class of 1974 50th Reunion Celebration?,Timings for Mellon College of Science Class of 1974 50th Reunion Celebration are 4:00 PM-5:00 PM ET on 4/12/24.,Events_data/Documents/Apr-12_Eventno_43_MellonCollegeofScienceClassof197450thReunionCelebration.txt
"Where is The Highmark Center for Health, Wellness and Athletics Tours taking place?",Meet at the intersection of Tech St. and Margaret Morrison,Events_data/Documents/Apr-13_Eventno_32_TheHighmarkCenterforHealthWellnessandAthleticsTours.txt
Can you tell me more about the Buggy Bash?,"Buggy Bash RD24 is here! Join buggy students and alumni for a night of food, trivia and our finals lead truck auction. This auction will be open on the Buggy Alumni Association website on April 11 until 11 p.m.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the Buggy community and their guests.",Events_data/Documents/Apr-12_Eventno_51_BuggyBash.txt
Can you tell me more about the Spring Carnival Parents and Families Hospitality Suite?,"All families are welcome to drop in to our hospitality lounge to take a break, grab some snacks, take a photo, mingle with fellow families and chat with staff.  Note: No registration required. No event fee. This event is open to parents and families of current students.",Events_data/Documents/Apr-13_Eventno_36_SpringCarnivalParentsandFamiliesHospitalitySuite.txt
Where is Carnival Rides taking place?,"Midway, The Cut",Events_data/Documents/Apr-12_Eventno_18_CarnivalRides.txt
Who can attend Carnival Rides?,Open to entire CMU community.,Events_data/Documents/Apr-13_Eventno_18_CarnivalRides.txt
Who can attend Sweepstakes Final Races?,Open to entire CMU community.,Events_data/Documents/Apr-13_Eventno_3_SweepstakesFinalRaces.txt
Can you tell me more about the Buggy Showcase?,"Kick off your Carnival Weekend with Buggy! View the latest buggy designs, talk with the teams and vote for the Buggy People’s Choice Award.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-11_Eventno_5_BuggyShowcase.txt
What is the timing for the Buggy Bash?,Timings for Buggy Bash are 7:00 PM-9:00 PM ET on 4/12/24.,Events_data/Documents/Apr-12_Eventno_51_BuggyBash.txt
What is the timing for the NROTC Flag Lowering?,Timings for NROTC Flag Lowering are 6:00 PM-6:15 PM ET on 4/12/24.,Events_data/Documents/Apr-12_Eventno_47_NROTCFlagLowering.txt
What is the timing for the Preliminary Sweepstakes Races?,Timings for Preliminary Sweepstakes Races are 8:00 AM-12:00 PM ET on 4/12/24.,Events_data/Documents/Apr-12_Eventno_2_PreliminarySweepstakesRaces.txt
Who can attend 15th and 20th Reunion Reception (2004 and 2009)?,Reunion Exclusive.,Events_data/Documents/Apr-12_Eventno_52_15thand20thReunionReception2004and2009.txt
"Can you tell me more about the ChemE Alumni, Faculty & Student Mixer?",ChemE alumni are invited to join the faculty and students in the Rothfus Lab for a meet and greet with refreshments. Catch up on what's new with student and faculty research projects and other department activities.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the ChemE community and their guests.,Events_data/Documents/Apr-12_Eventno_33_ChemEAlumniFacultyStudentMixer.txt
What is the timing for the Mobot Recap Watch Party?,Timings for Mobot Recap Watch Party are 3:00 PM-4:00 PM ET on 4/12/24.,Events_data/Documents/Apr-12_Eventno_35_MobotRecapWatchParty.txt
Who can attend Campus Community Lunch?,Open to entire CMU community.,Events_data/Documents/Apr-12_Eventno_22_CampusCommunityLunch.txt
What is the timing for the Here to Stay: Celebrating 40 Years at the Architecture Archives?,Timings for Here to Stay: Celebrating 40 Years at the Architecture Archives are 8:00 AM-6:00 PM ET on 4/10/24.,Events_data/Documents/Apr-10_Eventno_1_HeretoStayCelebrating40YearsattheArchitectureArchives.txt
Who can attend Crafting with the Spring Carnival Committee?,Open to entire CMU community.,Events_data/Documents/Apr-13_Eventno_31_CraftingwiththeSpringCarnivalCommittee.txt
Can you tell me more about the Information Systems Carnival 2024 Happy Hour (Invitation Only)?,"Information Systems is excited to host a happy hour for IS Alumni, Class of 2024 graduating seniors of the IS program, and IS staff and faculty to celebrate 40 years of graduates of the program. Light appetizers will be provided and drinks will be available for purchase. Please reach out to Jessica Lutz at isalumni@andrew.cmu.edu with any questions.  Note: Separate registration required.",Events_data/Documents/Apr-12_Eventno_44_InformationSystemsCarnival2024HappyHourInvitationOnly.txt
Who can attend Mixed Reality: A Virtual Reality Escape Room Experience?,Open to entire CMU community.,Events_data/Documents/Apr-12_Eventno_31_MixedRealityAVirtualRealityEscapeRoomExperience.txt
Who can attend WRCT Radio Buggy Preview?,Virtual Event: Open to All.,Events_data/Documents/Apr-10_Eventno_3_WRCTRadioBuggyPreview.txt
What is the timing for the Meet & Greet with the Beep-Boop?,Timings for Meet & Greet with the Beep-Boop are 11:00 AM-11:00 PM ET on 4/13/24.,Events_data/Documents/Apr-13_Eventno_17_MeetGreetwiththeBeepBoop.txt
Where is Faces of Carnival Photo Mosaic taking place?,No information mentioned on the website.,Events_data/Documents/Feb-5_Eventno_1_FacesofCarnivalPhotoMosaic.txt
Can you tell me more about the C#'s Carnival Concert?,"Celebrate the first day of Carnival at C#'s Carnival Concert. Performances from all three branches of C# (a cappella, choir and concert groups) as well as guest appearances from other groups and soloists around campus.  Note: No registration required. No event fee. Time subject to change. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-11_Eventno_22_CsCarnivalConcert.txt
"Where is Lunar Bots, Roll Out! taking place?","Midway Activities Tent, The Cut",Events_data/Documents/Apr-11_Eventno_17_LunarBotsRollOut.txt
Where is Scotch'n'Soda Theatre Alumni Brunch taking place?,"Peter & Wright rooms, 2nd Floor, CUC",Events_data/Documents/Apr-13_Eventno_27_ScotchnSodaTheatreAlumniBrunch.txt
Can you tell me more about the MechE Alumni Breakfast?,"Mechanical Engineering alumni and their families are invited to join us in Scaife Hall to watch the Buggy races and enjoy breakfast pastries, coffee and community.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the MechE community and their guests.",Events_data/Documents/Apr-13_Eventno_12_MechEAlumniBreakfast.txt
Can you tell me more about the Faces of Carnival Photo Mosaic?,Submit your photo by April 16 to be included in the Faces of Carnival. Look for your image — along with hundreds of others from the worldwide CMU community — when we share the mosaic on social media and in email after Spring Carnival 2024.,Events_data/Documents/Feb-5_Eventno_1_FacesofCarnivalPhotoMosaic.txt
Where is MechE Alumni Breakfast taking place?,"Lobby, 1st Floor, Scaife Hall",Events_data/Documents/Apr-13_Eventno_12_MechEAlumniBreakfast.txt
Who can attend Holi?,Open to entire CMU community.,Events_data/Documents/Apr-14_Eventno_3_Holi.txt
What is the timing for the Dietrich College of Humanities and Social Sciences Brunch & Buggy?,Timings for Dietrich College of Humanities and Social Sciences Brunch & Buggy are 9:30 AM-12:00 PM ET on 4/13/24.,Events_data/Documents/Apr-13_Eventno_13_DietrichCollegeofHumanitiesandSocialSciencesBrunchBuggy.txt
Where is Holi taking place?,The Mall,Events_data/Documents/Apr-14_Eventno_3_Holi.txt
"Where is Electrical and Computer Engineering's Totes, T-shirts and Tacos! taking place?","Singleton room, 4th Floor, Roberts Engineering Hall",Events_data/Documents/Apr-12_Eventno_34_ElectricalandComputerEngineeringsTotesTshirtsandTacos.txt
What is the timing for the Scotch'n'Soda Theatre Carnival Show: The Little Mermaid?,Timings for Scotch'n'Soda Theatre Carnival Show: The Little Mermaid are 3:00 PM-5:00 PM ET on 4/13/24.,Events_data/Documents/Apr-13_Eventno_46_ScotchnSodaTheatreCarnivalShowTheLittleMermaid.txt
Where is Buggy Alumni Association Information Tent taking place?,Frew Street,Events_data/Documents/Apr-13_Eventno_2_BuggyAlumniAssociationInformationTent.txt
Can you tell me more about the Buggy Donut Tent?,The Donut Tent is #17 on the map.  Stop by to grab a donut and refreshments in between watching the races! Sponsored by the CMU Alumni Association.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.,Events_data/Documents/Apr-12_Eventno_1_BuggyDonutTent.txt
Where is Residential Education (Student Life) Alumni Reception taking place?,"Recreational Room, West Wing",Events_data/Documents/Apr-13_Eventno_44_ResidentialEducationStudentLifeAlumniReception.txt
Can you tell me more about the 50th Reunion Dinner Reception (1974)?,"Reconnect with former classmates at this signature 50th Reunion celebration for the Class of 1974 at the beautiful Pittsburgh Golf Club. Cocktail reception followed by dinner.  Note: Registration required. This event is open to the Class of 1974, Half Century Tartans and their guests only.  Meal Selections and Cost  Meal selection options: Beef, salmon or vegetarian Cost Now through Feb. 23: $94 per person. Feb. 24 through Apr. 5: $99 per person.",Events_data/Documents/Apr-13_Eventno_54_50thReunionDinnerReception1974.txt
What is the timing for the Reunion Pints with Profs?,Timings for Reunion Pints with Profs are 5:00 PM-7:00 PM ET on 4/12/24.,Events_data/Documents/Apr-12_Eventno_45_ReunionPintswithProfs.txt
Where is Booth! taking place?,CFA Parking Lot,Events_data/Documents/Apr-12_Eventno_15_Booth.txt
Where is Mixed Reality: A Virtual Reality Escape Room Experience taking place?,Location TBA,Events_data/Documents/Apr-12_Eventno_31_MixedRealityAVirtualRealityEscapeRoomExperience.txt
"Who can attend Past, Present and Future of Energy in Pittsburgh Tours?",Open to alumni.,Events_data/Documents/Apr-13_Eventno_41_PastPresentandFutureofEnergyinPittsburghTours.txt
"Where is Past, Present and Future of Energy in Pittsburgh Tours taking place?",Starting Location TBA in later March,Events_data/Documents/Apr-13_Eventno_41_PastPresentandFutureofEnergyinPittsburghTours.txt
What is the timing for the WRCT Radio Buggy Preview?,Timings for WRCT Radio Buggy Preview are 3:00 PM-4:00 PM ET on 4/10/24.,Events_data/Documents/Apr-10_Eventno_3_WRCTRadioBuggyPreview.txt
Where is Kiltie Band Alumni & Student Reception taking place?,"General Motors Room, 2nd Floor, CUC",Events_data/Documents/Apr-11_Eventno_21_KiltieBandAlumniStudentReception.txt
"What is the timing for the Electrical and Computer Engineering's Totes, T-shirts and Tacos!?","Timings for Electrical and Computer Engineering's Totes, T-shirts and Tacos! are 3:00 PM-5:00 PM ET on 4/12/24.",Events_data/Documents/Apr-12_Eventno_34_ElectricalandComputerEngineeringsTotesTshirtsandTacos.txt
What is the timing for the Carnival Activities Tent?,Timings for Carnival Activities Tent are 11:00 AM-7:00 PM ET on 4/12/24.,Events_data/Documents/Apr-12_Eventno_13_CarnivalActivitiesTent.txt
What is the timing for the Annual MOBOT Races?,Timings for Annual MOBOT Races are 12:00 PM-2:00 PM ET on 4/12/24.,Events_data/Documents/Apr-12_Eventno_25_AnnualMOBOTRaces.txt
Who can attend Reunion Exclusive Tours?,Reunion Exclusive.,Events_data/Documents/Apr-12_Eventno_11_ReunionExclusiveTours.txt
Who can attend Delta Upsilon Alumni Association Board Meeting?,Open to DU Community.,Events_data/Documents/Apr-13_Eventno_38_DeltaUpsilonAlumniAssociationBoardMeeting.txt
Who can attend Carnival Wellness Tent?,Open to entire CMU community.,Events_data/Documents/Apr-13_Eventno_22_CarnivalWellnessTent.txt
Who can attend Heinz Alumni Association Awards (Invitation Only)?,Open to members of the Heinz community.,Events_data/Documents/Apr-12_Eventno_48_HeinzAlumniAssociationAwardsInvitationOnly.txt
Who can attend Meet & Greet with the Beep-Boop?,Open to entire CMU community.,Events_data/Documents/Apr-13_Eventno_17_MeetGreetwiththeBeepBoop.txt
What is the timing for the Information Systems 40th Anniversary Celebration (Private event for IS community)?,Timings for Information Systems 40th Anniversary Celebration (Private event for IS community) are 12:00 PM-2:00 PM ET on 4/13/24.,Events_data/Documents/Apr-13_Eventno_26_InformationSystems40thAnniversaryCelebrationPrivateeventforIScommunity.txt
Who can attend Scotch'n'Soda Theatre Carnival Show: The Little Mermaid?,Open to entire CMU community.,Events_data/Documents/Apr-13_Eventno_46_ScotchnSodaTheatreCarnivalShowTheLittleMermaid.txt
Who can attend Taste of Pittsburgh Food Truck Festival?,Open to entire CMU community.,Events_data/Documents/Apr-13_Eventno_15_TasteofPittsburghFoodTruckFestival.txt
Can you tell me more about the NROTC Flag Lowering?,Join the NROTC in this reflective time.  Note: No registration required. Walk-ins welcome. No event fee. This event is open to the entire CMU community and their guests.,Events_data/Documents/Apr-12_Eventno_47_NROTCFlagLowering.txt
Who can attend Buggy Bash?,Open to the Buggy community.,Events_data/Documents/Apr-12_Eventno_51_BuggyBash.txt
Can you tell me more about the Dog Costume Party?,Bring your favorite four-legged friend for this dog costume party in honor of the Carnival Doghouses! Prizes go the top dog!  Note: Registration not required. No event fee.,Events_data/Documents/Apr-13_Eventno_45_DogCostumeParty.txt
What is the timing for the Reunion Exclusive Tours?,Timings for Reunion Exclusive Tours are 10:00 AM-1:00 PM ET on 4/12/24.,Events_data/Documents/Apr-12_Eventno_11_ReunionExclusiveTours.txt
Who can attend Carnival Wellness Tent?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_12_CarnivalWellnessTent.txt
What is the timing for the Booth!?,Timings for Booth! are 11:00 AM-11:00 PM ET on 4/12/24.,Events_data/Documents/Apr-12_Eventno_15_Booth.txt
Who can attend Kiltie Band Alumni & Student Reception?,Open to alumni and families of the Kiltie community.,Events_data/Documents/Apr-11_Eventno_21_KiltieBandAlumniStudentReception.txt
Who can attend Kiltie Band Concert?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_19_KiltieBandConcert.txt
Can you tell me more about the NROTC Award Ceremony?,Join the NROTC as they recognize outstanding academic achievement at the annual Award Ceremony. Reception immediately follows.  Note: No registration required. No event fee. This event is open to the NROTC community and their guests.,Events_data/Documents/Apr-12_Eventno_42_NROTCAwardCeremony.txt
Can you tell me more about the Teruko Yata Memorial Lecture in Robotics?,Note: No registration required to attend lecture. No event fee. This event is open to the entire CMU community and their guests. ,Events_data/Documents/Apr-11_Eventno_6_TerukoYataMemorialLectureinRobotics.txt
Can you tell me more about the Taste of Pittsburgh Food Truck Festival?,Enjoy some of Pittsburgh's local food trucks on campus. Participating trucks will be listed in late March.  Note: No registration required. Pay on your own at food truck(s). This event is open to the entire CMU community and their guests.,Events_data/Documents/Apr-13_Eventno_15_TasteofPittsburghFoodTruckFestival.txt
Who can attend Reunion Reserved Seating During Campus Community Lunch?,Reunion Exclusive.,Events_data/Documents/Apr-12_Eventno_23_ReunionReservedSeatingDuringCampusCommunityLunch.txt
Can you tell me more about the Cold Ones with the Coaches?,Enjoy some refreshments with our incredible athletic coaches.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to alumni and parents. ,Events_data/Documents/Apr-12_Eventno_36_ColdOneswiththeCoaches.txt
"Can you tell me more about the Delta Upsilon Reception for Alumni, Family and Friends?","Reconnect with Delta Upsilon over heavy appetizers and drinks at private room at The Oaklander. This event is open to all DU alumni, family and friends. Food and drinks on your own.  Note: Registration required. Walk-ins are welcome if space permits. No event fee. Open to the DU community and guests.",Events_data/Documents/Apr-13_Eventno_57_DeltaUpsilonReceptionforAlumniFamilyandFriends.txt
Where is CMU Emergency Medical Services Bystander CPR taking place?,"Midway, The Cut",Events_data/Documents/Apr-13_Eventno_24_CMUEmergencyMedicalServicesBystanderCPR.txt
"Who can attend Inventing Shakespeare: Text, Technology and The Four Folios?",Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_1_InventingShakespeareTextTechnologyandTheFourFolios.txt
Where is Design Alumni Gathering taking place?,"Room 121 and the Joseph Ballay Center for Design Fusion, Margaret Morrison",Events_data/Documents/Apr-12_Eventno_29_DesignAlumniGathering.txt
Who can attend The Tartan Alumni & Student Reception?,Open to alumni and families of The Tartan community.,Events_data/Documents/Apr-13_Eventno_37_TheTartanAlumniStudentReception.txt
What is the timing for the Tepper Buggy Tent?,Timings for Tepper Buggy Tent are 8:00 AM-11:00 AM ET on 4/13/24.,Events_data/Documents/Apr-13_Eventno_5_TepperBuggyTent.txt
Can you tell me more about the Scotch'n'Soda Theatre Alumni Brunch?,Scotch'n'Soda alumni and students are invited to celebrate 86 years of student theater! Network with friends new and old and learn about what is going on in Scotch'n'Soda and the Alumni Association. There is no admission fee and the event ends before the matinee performance.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the S’n’S community and their guests.,Events_data/Documents/Apr-13_Eventno_27_ScotchnSodaTheatreAlumniBrunch.txt
What is the timing for the Heinz Network Pittsburgh (Invitation Only)?,Timings for Heinz Network Pittsburgh (Invitation Only) are 6:30 PM-8:30 PM ET on 4/12/24.,Events_data/Documents/Apr-12_Eventno_50_HeinzNetworkPittsburghInvitationOnly.txt
Where is Buggy Alumni Association Welcome Event taking place?,No information mentioned on the website.,Events_data/Documents/Apr-11_Eventno_26_BuggyAlumniAssociationWelcomeEvent.txt
What is the timing for the Here to Stay: Celebrating 40 Years at the Architecture Archives?,Timings for Here to Stay: Celebrating 40 Years at the Architecture Archives are 12:00 PM-12:00 AM ET on 4/14/24 – 4/15/24.,Events_data/Documents/Apr-14_Eventno_1_HeretoStayCelebrating40YearsattheArchitectureArchives.txt
Can you tell me more about the Scotch'n'Soda Theatre Carnival Show: The Little Mermaid?,"Come celebrate Carnival with Scotch'n'Soda Theatre, and join us for a performance under the sea! This year, Scotch'n'Soda is thrilled to present our production of Disney's The Little Mermaid! Adapted from the wildly popular animated film and Hans Christian Anderson's original fairytale, the musical follows Ariel, King Triton's youngest daughter, who wishes to explore the world up above and pursue the human Prince Eric. But the bargains and sea witches aren't all that they seem, and Ariel needs the help of her colorful friends, Flounder the fish, Scuttle the seagull and Sebastian the crab to restore order under the sea. Sing along with all of your favorite childhood classics, and come be a part of our world! Funded in part by the Student Activities Fee. Note: Disney's The Little Mermaid is presented through special arrangement with Music Theatre International (MTI). All authorized performance materials are also supplied by MTI.  Cost Tickets will be available online in March and at the door. Cost: $5 for students/faculty/staff; $10 for alumni and guests.  Weekend show times  Thursday: 7-9:30 p.m. Friday: 6-8:30 p.m. and 10 p.m.-12:30 a.m. Saturday: 3-5:30 p.m. and 7-9:30 p.m.",Events_data/Documents/Apr-13_Eventno_46_ScotchnSodaTheatreCarnivalShowTheLittleMermaid.txt
Where is Buggy Alumni Association Information Tent taking place?,"Tent, Frew Street",Events_data/Documents/Apr-12_Eventno_6_BuggyAlumniAssociationInformationTent.txt
What is the timing for the Reunion Beer Garden?,Timings for Reunion Beer Garden are 2:00 PM-4:00 PM ET on 4/13/24.,Events_data/Documents/Apr-13_Eventno_40_ReunionBeerGarden.txt
Who can attend Heinz Network Pittsburgh (Invitation Only)?,Open to members of the Heinz community.,Events_data/Documents/Apr-12_Eventno_50_HeinzNetworkPittsburghInvitationOnly.txt
Where is Engineering and Public Policy (EPP) Ice Cream Social taking place?,Location TBA,Events_data/Documents/Apr-12_Eventno_37_EngineeringandPublicPolicyEPPIceCreamSocial.txt
Who can attend Tartans Got Talent?,Open to entire CMU community.,Events_data/Documents/Apr-12_Eventno_54_TartansGotTalent.txt
Where is Cold Ones with the Coaches taking place?,Tartans Pavilion,Events_data/Documents/Apr-12_Eventno_36_ColdOneswiththeCoaches.txt
What is the timing for the C#'s Carnival Concert?,Timings for C#'s Carnival Concert are 4:30 PM-6:30 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_22_CsCarnivalConcert.txt
What is the timing for the Carnegie Mellon Racing 2024 Rollout?,Timings for Carnegie Mellon Racing 2024 Rollout are 2:30 PM-3:30 PM ET on 4/13/24.,Events_data/Documents/Apr-13_Eventno_43_CarnegieMellonRacing2024Rollout.txt
Where is Campus Community Lunch taking place?,"Between Purnell and Cohon University Center, East/West Walkway (rain location: under CUC loggia)",Events_data/Documents/Apr-12_Eventno_22_CampusCommunityLunch.txt
Who can attend Annual MOBOT Races?,Open to entire CMU community.,Events_data/Documents/Apr-12_Eventno_25_AnnualMOBOTRaces.txt
Can you tell me more about the Booth Build & Midway Cam?,"Follow all of the action via livestream starting with Move On on April 5, followed by Build Week and finally the completed Booths beginning on April 11 through April 14.  Note: Add event during registration for calendar hold. Link will be added prior to Build Week.",Events_data/Documents/Apr-5_Eventno_1_BoothBuildMidwayCam.txt
What is the timing for the School of Architecture Pavilion Dedication & Alumni Open House?,Timings for School of Architecture Pavilion Dedication & Alumni Open House are 1:00 PM-2:30 PM ET on 4/13/24.,Events_data/Documents/Apr-13_Eventno_33_SchoolofArchitecturePavilionDedicationAlumniOpenHouse.txt
Where is Booth! taking place?,CFA Parking Lot,Events_data/Documents/Apr-11_Eventno_14_Booth.txt
"Can you tell me more about the Unveiling the Department of Languages, Cultures & Applied Linguistics?","Say au revoir to 'Modern Languages' and welcome to 'Languages, Cultures & Applied Linguistics.' It's not just a name; it's a passport to a world of cultural exploration and linguistic innovation. Join us in celebrating this exciting transition as we embrace a new era, aligning our department's identity with a broader mission of fostering diverse cultural understanding and advancing applied linguistics in our global community.  Note: Registration required. No event fee. This event is open to the Modern Languages community and their guests.",Events_data/Documents/Apr-13_Eventno_47_UnveilingtheDepartmentofLanguagesCulturesAppliedLinguistics.txt
"Where is Inventing Shakespeare: Text, Technology and The Four Folios taking place?","4th Floor, Hunt Library",Events_data/Documents/Apr-12_Eventno_5_InventingShakespeareTextTechnologyandTheFourFolios.txt
Where is Mixed Reality: A Virtual Reality Escape Room Experience taking place?,Location TBA,Events_data/Documents/Apr-11_Eventno_11_MixedRealityAVirtualRealityEscapeRoomExperience.txt
Where is Reunion Buggy Watch Tent taking place?,"Tent, Frew Street",Events_data/Documents/Apr-12_Eventno_8_ReunionBuggyWatchTent.txt
Where are the classes for Lighting Production located on the campus?,"The Lighting Production class is located in Building TBA, Room nan.",Courses_data/Documents/metadata_course_spring_24.txt
Who is the instructor for the Corporate Strategy:?,The Corporate Strategy: course is led by instructor nan.,Courses_data/Documents/metadata_course_spring_24.txt
Which department offers the Literature and Repertoire: Brass subject?,The Music department offers the Literature and Repertoire: Brass subject.,Courses_data/Documents/metadata_course_spring_24.txt
Who is the instructor for the Carnegie Scenic?,The Carnegie Scenic course is led by instructor nan.,Courses_data/Documents/metadata_course_spring_24.txt
How many units does the Health Care Geographical Information Systems course offer?,The course titled Health Care Geographical Information Systems with Course ID 90434 has 12.0 units.,Courses_data/Documents/metadata_course_spring_24.txt
How many units does the Interpretation and Argument course offer?,The course titled Interpretation and Argument with Course ID 76101 has 9.0 units.,Courses_data/Documents/metadata_course_spring_24.txt
Which semester does the Costume Production belong to?,The Costume Production is a part of the Fall 2023 semester.,Courses_data/Documents/metadata_course_fall_23.txt
Which department offers the Piano Pedagogy II subject?,The Music department offers the Piano Pedagogy II subject.,Courses_data/Documents/metadata_course_spring_24.txt
How many units does the Intermediate French II course offer?,The course titled Intermediate French II with Course ID 82202 has 9.0 units.,Courses_data/Documents/metadata_course_fall_23.txt
Which department offers the Undergraduate Research subject?,The Chemistry department offers the Undergraduate Research subject.,Courses_data/Documents/metadata_course_fall_23.txt
How many units does the Introduction to Entrepreneurship course offer?,The course titled Introduction to Entrepreneurship with Course ID 70415 has 9.0 units.,Courses_data/Documents/metadata_course_fall_23.txt
Who is the instructor for the Video & Media Design?,The Video & Media Design course is led by instructor Instructor TBA.,Courses_data/Documents/metadata_course_fall_23.txt
Which semester does the Dramaturgy belong to?,The Dramaturgy is a part of the Spring 2024 semester.,Courses_data/Documents/metadata_course_spring_24.txt
Which semester does the Media belong to?,The Media is a part of the Spring 2024 semester.,Courses_data/Documents/metadata_course_spring_24.txt
Which department offers the Principles of Microeconomics subject?,The Economics department offers the Principles of Microeconomics subject.,Courses_data/Documents/metadata_course_fall_23.txt
Who is the instructor for the Internship?,The Internship course is led by instructor Devine.,Courses_data/Documents/metadata_course_fall_23.txt
Who is the instructor for the Fundamentals of Programming and Computer Science?,"The Fundamentals of Programming and Computer Science course is led by instructor Taylor, Virtue.",Courses_data/Documents/metadata_course_fall_23.txt
Which department offers the Grad Students subject?,The Drama department offers the Grad Students subject.,Courses_data/Documents/metadata_course_spring_24.txt
When are the classes scheduled for the Statistics for Decision Making?,The classes meet on Tuesday Thursday between 03:30PM and 04:50PM ET for the Statistics for Decision Making.,Courses_data/Documents/metadata_course_fall_23.txt
How many units does the Introduction to Philosophy course offer?,The course titled Introduction to Philosophy with Course ID 80100 has 9.0 units.,Courses_data/Documents/metadata_course_spring_24.txt
Who is the instructor for the Foundations of Programming Languages:?,The Foundations of Programming Languages: course is led by instructor nan.,Courses_data/Documents/metadata_course_fall_23.txt
How many units does the Reading and Writing in an Academic Context course offer?,The course titled Reading and Writing in an Academic Context with Course ID 76100 has 9.0 units.,Courses_data/Documents/metadata_course_fall_23.txt
When are the classes scheduled for the Tap III: Expand Percussive Rhythms?,The classes meet on Tuesday between 04:30PM and 05:20PM ET for the Tap III: Expand Percussive Rhythms.,Courses_data/Documents/metadata_course_spring_24.txt
Where are the classes for Cyber Defense located on the campus?,"The Cyber Defense class is located in Building CMR, Room F205.",Courses_data/Documents/metadata_course_spring_24.txt
Who is the instructor for the Lighting Production?,The Lighting Production course is led by instructor Brown.,Courses_data/Documents/metadata_course_spring_24.txt
How many units does the Chemical Thermodynamics course offer?,The course titled Chemical Thermodynamics with Course ID 9611 has 6.0 units.,Courses_data/Documents/metadata_course_fall_23.txt
When are the classes scheduled for the Practicum in Statistics (Mini)?,The classes meet on Schedule will be added between nan and nan ET for the Practicum in Statistics (Mini).,Courses_data/Documents/metadata_course_spring_24.txt
Which department offers the Music Studio subject?,The Music department offers the Music Studio subject.,Courses_data/Documents/metadata_course_spring_24.txt
Which department offers the Scenic Design subject?,The Drama department offers the Scenic Design subject.,Courses_data/Documents/metadata_course_fall_23.txt
How many units does the Foundations of Computer Systems course offer?,The course titled Foundations of Computer Systems with Course ID 18613 has 12.0 units.,Courses_data/Documents/metadata_course_fall_23.txt
Where are the classes for Physics I for Engineering Students located on the campus?,"The Physics I for Engineering Students class is located in Building WEH, Room 5310.",Courses_data/Documents/metadata_course_fall_23.txt
Where are the classes for Undergraduate Research Shadowing in Chemistry located on the campus?,"The Undergraduate Research Shadowing in Chemistry class is located in Building TBA, Room nan.",Courses_data/Documents/metadata_course_spring_24.txt
Which department offers the Structural Analysis subject?,The Civil & Environmental Engineering department offers the Structural Analysis subject.,Courses_data/Documents/metadata_course_fall_23.txt
Where are the classes for Carnegie Scenic located on the campus?,"The Carnegie Scenic class is located in Building TBA, Room nan.",Courses_data/Documents/metadata_course_spring_24.txt
Where are the classes for Guided Research located on the campus?,"The Guided Research class is located in Building DNM, Room DNM.",Courses_data/Documents/metadata_course_fall_23.txt
How many units does the US Grand Strategy course offer?,The course titled US Grand Strategy with Course ID 84680 has 12.0 units.,Courses_data/Documents/metadata_course_fall_23.txt
Where are the classes for Lighting Production located on the campus?,"The Lighting Production class is located in Building TBA, Room nan.",Courses_data/Documents/metadata_course_fall_23.txt
